1, 1, 5, 106, '2013-4'
2, 2, 10, 100, '2011-5'
3, 3, 4, 112, '2009-9'
4, 3, 9, 91, '2004-10'
5, 4, 8, 94, '2008-8'
6, 4, 6, 87, '2008-11'
7, 5, 2, 43, '2012-2'
8, 5, 1, 103, '2012-12'
9, 6, 3, 104, '2003-1'
10, 6, 2, 50, '2014-8'
11, 7, 1, 98, '2003-7'
12, 7, 6, 52, '2009-3'
13, 8, 6, 94, '2000-10'
14, 8, 8, 83, '2008-1'
15, 9, 10, 118, '2006-2'
16, 9, 1, 76, '2011-1'
17, 10, 1, 89, '2005-6'
18, 10, 7, 50, '2007-9'
19, 11, 8, 112, '2009-11'
20, 11, 5, 120, '2009-11'
21, 12, 8, 98, '2002-11'
22, 12, 10, 84, '2003-5'
23, 13, 4, 43, '2012-3'
24, 13, 9, 106, '2013-4'
25, 14, 10, 94, '2007-6'
26, 14, 5, 114, '2002-7'
27, 15, 3, 41, '2005-4'
28, 17, 2, 55, '2009-2'
29, 16, 10, 103, '2009-11'
30, 19, 4, 99, '2005-1'
31, 18, 4, 54, '2000-1'
32, 21, 1, 102, '2001-11'
33, 20, 3, 60, '2004-2'
34, 23, 8, 51, '2005-10'
35, 23, 6, 72, '2011-1'
36, 22, 8, 109, '2009-3'
37, 25, 7, 75, '2007-9'
38, 24, 8, 75, '2008-8'
39, 27, 5, 52, '2013-4'
40, 27, 9, 85, '2013-5'
41, 26, 3, 105, '2009-6'
42, 29, 9, 83, '2006-9'
43, 28, 6, 64, '2000-9'
44, 28, 9, 93, '2004-7'
45, 31, 7, 99, '2012-9'
46, 31, 2, 80, '2010-11'
47, 30, 6, 47, '2012-8'
48, 30, 10, 114, '2006-12'
49, 34, 7, 111, '2013-7'
50, 34, 10, 88, '2006-2'
51, 35, 7, 111, '2008-3'
52, 32, 10, 40, '2012-10'
53, 32, 1, 108, '2009-11'
54, 33, 5, 92, '2001-2'
55, 38, 10, 88, '2006-5'
56, 39, 9, 96, '2006-5'
57, 39, 3, 110, '2005-6'
58, 36, 8, 75, '2008-3'
59, 37, 2, 45, '2011-11'
60, 42, 3, 105, '2001-3'
61, 42, 1, 48, '2003-2'
62, 43, 3, 67, '2000-6'
63, 40, 6, 60, '2010-7'
64, 41, 4, 70, '2014-12'
65, 46, 9, 95, '2008-7'
66, 46, 10, 99, '2008-5'
67, 47, 7, 66, '2002-7'
68, 44, 3, 119, '2013-5'
69, 45, 1, 81, '2008-5'
70, 51, 10, 64, '2004-6'
71, 51, 5, 91, '2014-6'
72, 50, 1, 83, '2008-2'
73, 50, 3, 76, '2012-7'
74, 49, 9, 45, '2014-8'
75, 49, 8, 109, '2000-2'
76, 48, 4, 93, '2002-6'
77, 55, 5, 114, '2014-1'
78, 55, 9, 100, '2010-3'
79, 54, 6, 117, '2012-6'
80, 54, 5, 103, '2011-12'
81, 53, 1, 42, '2013-6'
82, 52, 8, 105, '2003-12'
83, 52, 5, 50, '2004-8'
84, 59, 3, 71, '2005-7'
85, 58, 10, 114, '2002-8'
86, 58, 10, 56, '2003-10'
87, 57, 5, 50, '2010-7'
88, 57, 1, 97, '2010-2'
89, 56, 6, 68, '2008-8'
90, 56, 8, 41, '2013-7'
91, 63, 1, 51, '2001-11'
92, 62, 5, 62, '2006-7'
93, 62, 3, 80, '2001-3'
94, 61, 3, 101, '2005-3'
95, 61, 2, 94, '2006-6'
96, 60, 10, 47, '2014-3'
97, 60, 7, 99, '2008-3'
98, 68, 3, 88, '2011-6'
99, 69, 3, 80, '2004-3'
100, 69, 7, 107, '2008-3'
101, 70, 3, 40, '2010-1'
102, 71, 8, 75, '2013-9'
103, 64, 8, 82, '2012-2'
104, 64, 10, 107, '2010-9'
105, 65, 5, 42, '2007-11'
106, 66, 7, 61, '2005-11'
107, 67, 7, 43, '2006-2'
108, 76, 8, 107, '2007-1'
109, 77, 1, 98, '2012-1'
110, 77, 5, 103, '2007-2'
111, 78, 6, 51, '2001-11'
112, 79, 4, 111, '2009-7'
113, 72, 10, 105, '2010-5'
114, 72, 3, 43, '2005-10'
115, 73, 2, 79, '2006-9'
116, 74, 4, 112, '2013-12'
117, 75, 8, 95, '2000-7'
118, 85, 4, 41, '2005-9'
119, 84, 8, 81, '2009-11'
120, 87, 6, 71, '2012-1'
121, 87, 4, 71, '2002-8'
122, 86, 8, 49, '2006-10'
123, 86, 4, 106, '2010-9'
124, 81, 6, 119, '2005-11'
125, 80, 2, 109, '2004-7'
126, 80, 7, 98, '2011-3'
127, 83, 4, 106, '2007-7'
128, 82, 1, 48, '2011-8'
129, 93, 1, 106, '2003-7'
130, 92, 8, 102, '2010-9'
131, 92, 10, 55, '2000-2'
132, 95, 5, 41, '2010-3'
133, 95, 9, 82, '2000-4'
134, 94, 10, 103, '2004-1'
135, 94, 4, 83, '2009-5'
136, 89, 7, 98, '2003-4'
137, 89, 10, 80, '2008-8'
138, 88, 6, 40, '2010-9'
139, 88, 7, 112, '2004-10'
140, 91, 10, 68, '2013-7'
141, 90, 4, 59, '2014-10'
142, 90, 9, 114, '2001-10'
143, 102, 5, 87, '2009-1'
144, 102, 10, 59, '2013-11'
145, 103, 8, 115, '2002-5'
146, 100, 4, 52, '2007-4'
147, 100, 5, 120, '2004-10'
148, 101, 10, 57, '2014-3'
149, 101, 7, 70, '2008-11'
150, 98, 3, 43, '2012-7'
151, 98, 9, 70, '2001-3'
152, 99, 8, 91, '2013-5'
153, 99, 4, 67, '2006-7'
154, 96, 10, 53, '2013-1'
155, 97, 1, 108, '2002-11'
156, 97, 9, 115, '2002-3'
157, 110, 5, 112, '2009-10'
158, 110, 3, 120, '2008-8'
159, 111, 3, 86, '2001-2'
160, 108, 3, 49, '2007-3'
161, 109, 9, 86, '2014-1'
162, 106, 1, 44, '2011-11'
163, 106, 1, 108, '2011-6'
164, 107, 7, 92, '2014-6'
165, 107, 1, 100, '2003-3'
166, 104, 8, 100, '2006-9'
167, 105, 7, 119, '2013-11'
168, 105, 8, 61, '2005-2'
169, 119, 6, 106, '2013-5'
170, 119, 1, 43, '2010-11'
171, 118, 9, 99, '2005-5'
172, 118, 7, 93, '2010-6'
173, 117, 3, 105, '2009-11'
174, 117, 5, 83, '2012-4'
175, 116, 5, 108, '2008-2'
176, 115, 3, 115, '2009-3'
177, 114, 2, 108, '2011-7'
178, 114, 5, 90, '2011-3'
179, 113, 3, 76, '2007-7'
180, 113, 10, 109, '2010-12'
181, 112, 6, 75, '2006-10'
182, 112, 7, 47, '2012-11'
183, 127, 8, 75, '2008-11'
184, 126, 1, 94, '2005-2'
185, 126, 4, 117, '2006-11'
186, 125, 1, 76, '2006-6'
187, 125, 1, 92, '2005-8'
188, 124, 5, 85, '2003-2'
189, 124, 4, 99, '2006-3'
190, 123, 9, 41, '2011-1'
191, 123, 7, 52, '2011-2'
192, 122, 4, 90, '2014-5'
193, 121, 9, 119, '2009-11'
194, 121, 2, 71, '2012-4'
195, 120, 7, 42, '2009-2'
196, 120, 4, 99, '2002-7'
197, 137, 6, 50, '2001-1'
198, 136, 2, 66, '2009-3'
199, 139, 8, 96, '2012-8'
200, 139, 9, 60, '2001-3'
201, 138, 3, 76, '2000-2'
202, 141, 6, 82, '2000-12'
203, 140, 2, 102, '2004-11'
204, 140, 5, 85, '2005-3'
205, 143, 4, 99, '2003-1'
206, 142, 1, 107, '2005-8'
207, 129, 2, 64, '2012-7'
208, 128, 2, 89, '2014-7'
209, 131, 3, 51, '2006-9'
210, 130, 2, 100, '2000-6'
211, 133, 10, 51, '2002-9'
212, 132, 2, 48, '2000-1'
213, 132, 5, 57, '2003-5'
214, 135, 7, 65, '2002-7'
215, 135, 5, 78, '2011-9'
216, 134, 1, 75, '2007-4'
217, 134, 9, 73, '2012-9'
218, 152, 2, 107, '2010-9'
219, 153, 1, 54, '2006-1'
220, 154, 8, 116, '2005-1'
221, 154, 3, 68, '2003-6'
222, 155, 1, 118, '2002-1'
223, 155, 1, 50, '2001-1'
224, 156, 10, 110, '2001-1'
225, 157, 4, 84, '2001-7'
226, 158, 10, 41, '2001-7'
227, 158, 6, 57, '2000-7'
228, 159, 9, 70, '2014-12'
229, 159, 7, 67, '2012-11'
230, 144, 10, 99, '2002-6'
231, 144, 3, 103, '2007-7'
232, 145, 4, 93, '2006-8'
233, 146, 6, 59, '2003-2'
234, 146, 8, 93, '2000-9'
235, 147, 2, 111, '2010-5'
236, 147, 4, 113, '2005-9'
237, 148, 10, 53, '2009-7'
238, 148, 4, 83, '2002-2'
239, 149, 2, 50, '2006-12'
240, 149, 5, 78, '2002-8'
241, 150, 5, 114, '2003-9'
242, 151, 1, 52, '2005-5'
243, 171, 10, 86, '2010-3'
244, 171, 5, 63, '2000-12'
245, 170, 5, 82, '2013-6'
246, 170, 6, 48, '2009-6'
247, 169, 7, 109, '2007-7'
248, 169, 2, 44, '2005-8'
249, 168, 1, 114, '2007-10'
250, 168, 8, 81, '2010-4'
251, 175, 1, 79, '2003-8'
252, 174, 9, 119, '2003-8'
253, 173, 9, 100, '2009-4'
254, 173, 9, 51, '2010-1'
255, 172, 1, 66, '2007-9'
256, 163, 2, 50, '2006-7'
257, 163, 6, 91, '2004-3'
258, 162, 7, 41, '2012-12'
259, 162, 6, 81, '2012-11'
260, 161, 2, 118, '2009-2'
261, 160, 1, 104, '2011-12'
262, 160, 7, 42, '2008-5'
263, 167, 6, 111, '2002-10'
264, 167, 4, 67, '2007-7'
265, 166, 7, 59, '2010-7'
266, 166, 8, 77, '2009-1'
267, 165, 5, 73, '2007-10'
268, 164, 9, 113, '2010-9'
269, 164, 1, 84, '2014-6'
270, 186, 9, 58, '2005-2'
271, 187, 10, 77, '2007-12'
272, 184, 4, 118, '2001-8'
273, 184, 1, 106, '2009-9'
274, 185, 6, 99, '2000-5'
275, 190, 4, 104, '2010-1'
276, 191, 6, 97, '2009-9'
277, 191, 8, 88, '2014-5'
278, 188, 2, 48, '2001-3'
279, 188, 9, 61, '2012-10'
280, 189, 3, 45, '2014-1'
281, 178, 10, 75, '2009-8'
282, 178, 9, 96, '2002-10'
283, 179, 8, 42, '2010-4'
284, 179, 9, 42, '2014-3'
285, 176, 1, 83, '2010-1'
286, 177, 4, 96, '2013-2'
287, 177, 7, 60, '2009-3'
288, 182, 5, 94, '2013-11'
289, 183, 8, 120, '2002-5'
290, 180, 8, 106, '2013-12'
291, 180, 8, 119, '2014-1'
292, 181, 6, 51, '2010-4'
293, 205, 5, 61, '2008-1'
294, 205, 5, 101, '2013-2'
295, 204, 1, 46, '2005-7'
296, 207, 6, 80, '2009-10'
297, 207, 7, 51, '2006-4'
298, 206, 7, 45, '2014-8'
299, 206, 2, 53, '2011-2'
300, 201, 3, 48, '2013-7'
301, 201, 10, 119, '2000-9'
302, 200, 4, 87, '2008-4'
303, 200, 1, 116, '2009-5'
304, 203, 10, 65, '2014-5'
305, 202, 5, 45, '2006-11'
306, 202, 8, 71, '2003-10'
307, 197, 1, 90, '2008-12'
308, 196, 4, 93, '2012-5'
309, 199, 5, 97, '2010-5'
310, 198, 10, 86, '2004-7'
311, 198, 5, 98, '2000-6'
312, 193, 5, 42, '2008-6'
313, 192, 10, 72, '2001-4'
314, 195, 10, 89, '2009-4'
315, 195, 5, 51, '2006-5'
316, 194, 8, 106, '2012-9'
317, 194, 7, 99, '2002-4'
318, 220, 4, 77, '2007-6'
319, 220, 2, 73, '2009-11'
320, 221, 7, 109, '2009-5'
321, 222, 10, 93, '2009-3'
322, 223, 4, 114, '2002-2'
323, 223, 9, 115, '2000-1'
324, 216, 10, 70, '2008-11'
325, 217, 1, 56, '2005-1'
326, 218, 4, 71, '2012-3'
327, 218, 5, 105, '2006-10'
328, 219, 5, 42, '2001-8'
329, 219, 10, 115, '2003-1'
330, 212, 10, 102, '2003-11'
331, 212, 10, 109, '2006-9'
332, 213, 5, 109, '2000-6'
333, 214, 1, 119, '2010-5'
334, 215, 10, 73, '2013-3'
335, 215, 9, 99, '2004-1'
336, 208, 4, 83, '2007-9'
337, 209, 10, 104, '2000-1'
338, 209, 5, 53, '2007-11'
339, 210, 5, 112, '2010-3'
340, 210, 1, 64, '2013-12'
341, 211, 4, 84, '2006-3'
342, 211, 8, 82, '2014-11'
343, 239, 1, 118, '2011-7'
344, 239, 2, 46, '2014-5'
345, 238, 5, 76, '2011-7'
346, 237, 7, 94, '2007-12'
347, 236, 2, 83, '2012-8'
348, 236, 1, 76, '2001-2'
349, 235, 8, 87, '2006-6'
350, 235, 9, 81, '2010-2'
351, 234, 2, 88, '2004-4'
352, 234, 6, 118, '2014-5'
353, 233, 7, 95, '2003-3'
354, 232, 9, 89, '2010-6'
355, 232, 8, 52, '2002-7'
356, 231, 3, 112, '2012-7'
357, 231, 5, 81, '2006-1'
358, 230, 8, 94, '2001-5'
359, 229, 5, 117, '2007-1'
360, 229, 1, 50, '2007-1'
361, 228, 8, 71, '2013-10'
362, 228, 6, 67, '2008-2'
363, 227, 6, 86, '2005-12'
364, 226, 2, 72, '2007-7'
