1, 1, 1, 105, '2009-10'
2, 2, 9, 64, '2003-8'
3, 2, 9, 75, '2011-9'
4, 3, 5, 105, '2008-1'
5, 4, 5, 50, '2009-3'
6, 4, 1, 52, '2011-4'
7, 5, 5, 108, '2009-7'
8, 6, 1, 117, '2007-4'
9, 6, 5, 103, '2006-1'
10, 7, 5, 58, '2003-5'
11, 7, 10, 110, '2014-10'
12, 8, 6, 109, '2001-8'
13, 9, 9, 57, '2009-4'
14, 10, 4, 119, '2014-8'
15, 11, 9, 98, '2010-9'
16, 11, 1, 82, '2012-7'
17, 12, 10, 82, '2012-2'
18, 12, 3, 82, '2000-10'
19, 13, 6, 50, '2011-6'
20, 14, 5, 64, '2006-5'
21, 14, 9, 72, '2013-10'
22, 15, 9, 86, '2007-8'
23, 15, 5, 114, '2010-6'
24, 17, 6, 77, '2002-11'
25, 16, 6, 92, '2002-8'
26, 16, 8, 56, '2007-1'
27, 19, 9, 78, '2004-10'
28, 18, 9, 86, '2013-2'
29, 18, 1, 85, '2007-3'
30, 21, 6, 68, '2000-11'
31, 21, 1, 97, '2009-4'
32, 20, 4, 72, '2014-5'
33, 20, 7, 51, '2000-6'
34, 23, 5, 103, '2008-8'
35, 22, 9, 54, '2008-1'
36, 25, 5, 92, '2011-12'
37, 24, 5, 96, '2003-4'
38, 27, 8, 111, '2011-5'
39, 27, 9, 70, '2008-7'
40, 26, 10, 52, '2007-5'
41, 26, 2, 93, '2003-10'
42, 29, 6, 40, '2006-6'
43, 28, 9, 117, '2000-6'
44, 31, 2, 58, '2013-1'
45, 31, 7, 90, '2000-11'
46, 30, 10, 71, '2002-1'
47, 34, 9, 109, '2012-11'
48, 34, 3, 99, '2008-7'
49, 35, 7, 49, '2001-1'
50, 32, 8, 117, '2007-10'
51, 32, 8, 85, '2011-12'
52, 33, 10, 84, '2013-4'
53, 33, 1, 40, '2013-7'
54, 38, 1, 65, '2000-8'
55, 38, 6, 40, '2005-12'
56, 39, 5, 119, '2012-3'
57, 39, 4, 115, '2007-11'
58, 36, 3, 42, '2009-6'
59, 37, 2, 120, '2002-12'
60, 42, 1, 80, '2013-9'
61, 43, 1, 88, '2002-1'
62, 40, 2, 69, '2008-9'
63, 40, 6, 61, '2007-7'
64, 41, 1, 110, '2002-1'
65, 41, 9, 41, '2002-9'
66, 46, 8, 56, '2014-1'
67, 47, 1, 101, '2004-3'
68, 44, 7, 58, '2010-10'
69, 45, 7, 92, '2010-10'
70, 45, 3, 94, '2001-6'
71, 51, 10, 109, '2014-5'
72, 51, 3, 102, '2011-9'
73, 50, 2, 62, '2008-4'
74, 50, 6, 101, '2003-8'
75, 49, 9, 54, '2008-3'
76, 48, 2, 60, '2007-2'
77, 55, 1, 91, '2004-9'
78, 54, 3, 99, '2000-4'
79, 54, 2, 73, '2004-4'
80, 53, 1, 71, '2014-4'
81, 52, 4, 49, '2001-4'
82, 59, 1, 72, '2005-4'
83, 58, 7, 82, '2007-4'
84, 58, 3, 97, '2013-1'
85, 57, 5, 66, '2004-11'
86, 56, 4, 99, '2005-7'
87, 63, 10, 72, '2003-10'
